Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2022-01-27,121954600,77516000,3678100,9066700,17536800,53481300,21250600,573353000,9083000,29174700,5214200000
2022-01-28,179935700,74392000,10747300,9783100,14117000,49743700,25537100,543774000,9494200,30595700,5031090000
2022-01-31,115541600,78308000,6179000,8054800,13985700,46444500,21787800,564680000,8950100,36085500,5098610000
2022-02-01,86213900,59220000,4026400,8154700,14584900,40950400,12082900,518925000,6284100,61033100,4816830000
2022-02-02,84914300,87330000,3492300,7382800,12441100,36636000,8397700,543419000,7558800,30299300,4481580000
2022-02-03,89418100,225532000,2748200,6240400,12474900,43730000,7960700,410178000,10474500,28529400,4401970000
2022-02-04,82465400,253456000,3930800,6392200,16654400,35096500,12132000,354829000,8959900,32197500,4706290000
2022-02-07,77251200,102624000,2402000,6065700,12572300,28533300,8184500,376868000,6430500,34949200,4228480000
2022-02-08,74829200,76040000,2407100,6296100,20411400,32421200,6758500,410359000,5048700,34356300,4459620000
2022-02-09,71285000,68786000,2743700,5387500,9131100,31284700,7390900,524282000,8077400,40106100,4524350000
2022-02-10,90865900,68268000,3538500,10355300,16455600,45386200,9673300,513200000,7033000,28527700,5314860000
2022-02-11,98670700,77100000,3826700,13125300,16830000,39175600,8999100,605472000,9341400,42002100,5251500000
2022-02-14,86185500,83230000,2730500,8967600,17026500,36359500,8329200,440424000,9472200,34652800,4600390000
2022-02-15,62527400,56440000,2752600,6631400,9500000,27058300,9102000,699869000,6659200,25075100,4430830000
2022-02-16,61177400,52704000,2253900,8482400,9076500,29982100,7505100,732676000,9315700,21733800,4283640000
2022-02-17,69589300,64032000,4699600,6227600,11367500,32461600,10093100,810595000,7925500,23738800,4539420000
2022-02-18,82772700,63604000,4385200,6423200,11733300,34264000,9558600,761255000,8063200,23394800,4708060000
2022-02-22,91162800,66128000,3488000,6868900,11333500,41736100,8233400,633422000,8179500,35947800,5121900000
2022-02-23,90009200,64244000,3550400,8016900,11799000,37811200,7837100,566511000,6273000,25385000,4797430000
2022-02-24,141147500,100786000,5919500,12883400,25655100,56989700,15750400,735801000,13145100,46199900,6752130000
2022-02-25,91974200,62396000,3594600,11340400,18367700,32546700,12609500,528866000,8888800,28310300,5177060000
2022-02-28,95056600,57684000,5168500,9373500,31315300,34627500,16345600,477319000,8669200,32204600,6071370000
2022-03-01,83474400,44874000,5110600,8737800,36840400,31217800,13930300,412056000,8311900,40002300,5846230000
2022-03-02,79724800,47334000,5849900,6793300,19405600,31873000,6988700,389642000,6111300,44321400,5337870000
2022-03-03,76678400,65198000,4429700,7333700,16640800,27314500,10075500,365095000,7451200,30196600,5039890000
2022-03-04,83737200,60934000,4334700,6302500,21016000,32356500,8996400,431415000,8639100,42802200,5797380000
2022-03-07,96418800,86934000,6912300,11663400,27560100,43157200,19948900,450821000,8374500,55207900,6940470000
